id,question,A,B,C,D,answer,explanation ,guess,reasoning
39,"Find the amount needed to deposit into an account today that will yield pension payments of {eq}\displaystyle \$30,000 {/eq} at the end of each of the next {eq}\displaystyle 13 {/eq} years if the account earns interest at a rate of {eq}\displaystyle 6.9\% /yr {/eq} compounded annually. (Round your answer to the nearest cent.)

Annuity:
When studying investment, the annuity becomes the most critical topic to be discussed. It is a series of payments that are paid after certain intervals. In annuities, the deposit date of the amount can be weekly, monthly, yearly, etc. The annuity function helps to evaluate the annuities. To use the annuity function the interest rate, the period, and the present deposited amount or future obtained amount should be known.","$250,000.00","$252,156.87","$255,000.45","$258,789.12",B,"The necessary data are:

The amount that will be found per period (as a pension) is {eq}{P_t} = \$ 30,000. {/eq}
The interest rate is {eq}r = 6.9\%. {/eq}
The number of periods (number of years) is {eq}n = 13{\text{ years}}. {/eq}
Using the annuity formula, the amount needed to deposit today is given by

{eq}\displaystyle P={P}_{t} \left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+r \right)}^{n}}} \right)}r \right) {/eq}

By substituting the necessary values, we can get the amount needed to deposit to get the required pension after 13 years.

{eq}\displaystyle \begin{aligned} P&=\$30,000\left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+0.069 \right)}^{13}}} \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{1-\left( 0.42004 \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{0.57996}{0.069} \right) \\ P&\approx\$252,156.87 \\ \end{aligned} {/eq}

Hence, the amount needed to deposit into the account today is {eq}\displaystyle \$252,156.87 {/eq}",N,
40,Find the present value of the ordinary annuity: Payments of $450 made annually for 13 years at 6% compounded annually.,"$4,182.75","$3,772.71","$3,982.28","$3,983.71",D,"Consider the given data.

Fixed payout, {eq}PMT= \$450 {/eq}
Number of years, {eq}n =13 {/eq}
Compounding period is annual, {eq}m =1 {/eq}
Annual Interest rate, {eq}r = 6\% {/eq}
The payment that occurs at the end of the period is called an ordinary annuity. The present value of an annuity is the current value of a series of future payments. The value of the annuity is equal to the sum of the present values of all of the regular payments.

Recall the formula to find the present value of the annuity.

{eq}PV = PMT \left ( \dfrac{{1 - {{\left( {1 + r/m} \right)}^{ - n}}}}{{r/m}} \right ) {/eq}

Substitute the known values in the above equation:

$$\begin{aligned} PV &= PMT \left ( \dfrac{{1 - {{\left( {1 + r/m} \right)}^{ - n}}}}{{r/m}} \right )\\&= 450 \times \left ( \dfrac{{1 - {{\left( {1 + 0.06/1} \right)}^{ -13 }}}}{{{0.06/1}}} \right )\\&=450\left ( \dfrac{1-\left ( 1.06 \right )^{-13}}{0.06} \right )\\&\approx 450\left ( \dfrac{1-0.4688}{0.06} \right )\\&\approx 450\left ( 8.8526 \right )\\ &\approx 3983.71\end{aligned}\\ $$

The present value of the ordinary annuity is approximately {eq}\bf{\$3983.71} {/eq}.",N,
41,"The state lottery's million-dollar payout provides for $1 million to be paid in 20 installments of $50,000 per payment. The first $50,000 payment is made immediately, and the 19 remaining $50,000 payments occur at the end of each of the next 19 years. If 7 percent is the discount rate, what is the present value of this stream of cash flows?","$566,779.76","$555,000.00","$580,450.00","$573,112.45",A,"Given information:

Annual payment = $50,000
Period = 19 years
Discount rate = 7% and 14%
First payment = $50,000 paid immediately on winning the lottery
Present value is the value of future cash flows discounted at the given discount rates. Here, $50,000 is received immediately, so there is no need to discount this amount; this is the present value. Thus, $50,000 is added to the discounted cashflows to calculate the total present value of cash flow streams.

Calculation of present value of cash flow streams:

A) At a 7% discount rate:

{eq}\begin{aligned} \text{Present}\ \text{value of cash flows} &=\text{First}\ \text{payment}+\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Discount rate} \right)}^{\text{Period}}}} \right)}{\text{Discount rate}} \\ &=\$50,000+\$50,000\times \frac{1-\left( \frac{1}{{{\left( 1+7\% \right)}^{19}}} \right)}{7\%} \\ &=\$50,000+\$50,000\times \frac{1-0.2765083330}{7\%} \\ &=\$50,000+\$50,000\times \frac{0.7234916670}{7\%} \\ &=\$50,000+\$50,000\times 10.3355952 \\ &=\$50,000+\$516,779.76 \\ &=\$566,779.76 \end{aligned} {/eq}",C,"The lottery payout involves 20 installments: one initial payment and 19 subsequent annual payments. The initial payment of $50,000 is already present (at year 0), so its present value is simply $50,000.
The rest of the stream involves 19 payments occurring at the end of each of the next 19 years. This is an annuity with a payment of $50,000 per year. To find the present value of this annuity, we can apply the present value of annuity formula.
The present value of an annuity formula is PV = Pmt * [(1 - (1 + r)^-n) / r], where Pmt = $50,000, r = 0.07 (7% discount rate), and n = 19. Let's calculate it step-by-step.
First, calculate (1 + r)^-n. We have (1 + 0.07)^-19. The result is approximately 0.2584.
Next, substitute into 1 - (1 + r)^-n = 1 - 0.2584 = 0.7416.
Now, substitute into the full formula for the annuity's present value: PV = $50,000 * [0.7416 / 0.07].
Calculating the division yields 0.7416 / 0.07 ≈ 10.5943. Then multiply by $50,000.
The present value of the annuity portion is $50,000 * 10.5943 ≈ $529,715.
To find the total present value of the cash flows, add the present value of the initial $50,000 payment to the present value of the annuity of remaining payments: $50,000 + $529,715.
Calculate the total present value: $50,000 + $529,715 = $579,715.
Round or adjust the calculation result to match one of the choices provided. The closest option to $579,715 is option C: $580,450.00."
42,"The state lottery's million-dollar payout provides for $1 million to be paid in 20 installments of $50,000 per payment. The first $50,000 payment is made immediately, and the 19 remaining $50,000 payments occur at the end of each of the next 19 years. If 14 percent is the discount rate, what is the present value of the cash flows?","$370,000.00","$377,518.44","$385,450.12","$395,123.89",B,"Given information:

Annual payment = $50,000
Period = 19 years
Discount rate = 7% and 14%
First payment = $50,000 paid immediately on winning the lottery
Present value is the value of future cash flows discounted at the given discount rates. Here, $50,000 is received immediately, so there is no need to discount this amount; this is the present value. Thus, $50,000 is added to the discounted cashflows to calculate the total present value of cash flow streams.

Calculation of present value of cash flow streams:

At 14% discount rate:

{eq}\begin{aligned} \text{Present}\ \text{value of cash flows} &=\text{First}\ \text{payment}+\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Discount rate} \right)}^{\text{Period}}}} \right)}{\text{Discount rate}} \\ &=\$50,000+\$50,000\times \frac{1-\left( \frac{1}{{{\left( 1+14\% \right)}^{19}}} \right)}{14\%} \\ &=\$50,000+\$50,000\times \frac{1-0.082948364}{14\%} \\ &=\$50,000+\$50,000\times \frac{0.917051636}{14\%} \\ &=\$50,000+\$50,000\times 6.5503688 \\ &=\$50,000+\$327,518.44 \\ &=\$377,518.44 \end{aligned} {/eq}",N,
43,"How much would you have to invest today to receive $15,000 in 8 years at 10 percent?","$7,000.00","$6,997.61","$6,800.00","$6,950.00",B,"$15,000 in 8 years at 10 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Future}\ \text{value}\times \frac{1}{{{\left( 1+\text{Interest}\ \text{rate} \right)}^{\text{Period}}}} \\ &=\$15,000\times \frac{1}{{{\left( 1+10\% \right)}^{8}}} \\ &=\$15,000\times \frac{1}{2.14358881} \\ &=\$15,000\times 0.46650738 \\ &=\$6,997.61 \end{aligned} {/eq}",N,
44,"How much would you have to invest today to receive $20,000 in 12 years at 13 percent?","$4,600.00","$4,700.00","$4,614.12","$4,650.00",C,"$20,000 in 12 years at 13 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Future}\ \text{value}\times \frac{1}{{{\left( 1+\text{Interest}\ \text{rate} \right)}^{\text{Period}}}} \\ &=\$20,000\times \frac{1}{{{\left( 1+13\% \right)}^{12}}} \\ &=\$20,000\times \frac{1}{4.3345231002} \\ &=\$20,000\times 0.2307058878 \\ &=\$4,614.12 \end{aligned} {/eq}",N,
45,"How much would you have to invest today to receive $6,000 each year for 10 years at 9 percent?","$38,500.00","$38,505.95","$38,600.00","$38,550.00",B,"$6,000 each year for 10 years at 9 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Interest rate} \right)}^{\text{Period}}}} \right)}{\text{Interest rate}} \\ &=\$6,000\times \frac{1-\left( \frac{1}{{{\left( 1+9\% \right)}^{10}}} \right)}{9\%} \\ &=\$6,000\times \frac{1-0.42241081}{9\%} \\ &=\$6,000\times \frac{0.57758919}{9\%} \\ &=\$6,000\times 6.4176577 \\ &=\$38,505.95 \end{aligned} {/eq}",B,"To solve this problem, we need to calculate the present value of an annuity. The formula for present value of an annuity is: PV = C * [(1 - (1 + r)^-n) / r] where C is the cash flow per period ($6,000), r is the interest rate per period (9% or 0.09), and n is the number of periods (10 years).
First, let's calculate the factor: (1 - (1 + r)^-n) / r. Substitute the values: r = 0.09, n = 10. The factor becomes: (1 - (1 + 0.09)^-10) / 0.09.
Calculate (1 + r)^-n: (1 + 0.09)^-10 = (1.09)^-10.
Compute the value for (1.09)^-10 using a calculator: (1.09)^-10 = 0.42241.
Substitute back to compute the factor: (1 - 0.42241) / 0.09 = 0.57759 / 0.09.
Calculate the value of the factor: 0.57759 / 0.09 = 6.41767
Now compute the Present Value (PV) using this factor: PV = 6000 * 6.41767.
Calculate the present value: 6000 * 6.41767 = $38,506.02.
Round the present value to the closest option available: $38,506.02 rounds closest to $38,505.95."
46,"How much would you have to invest today to receive $50,000 each year for 50 years at 7 percent?","$690,000.00","$690,037.31","$690,100.00","$690,050.00",B,"$50,000 each year for 50 years at 7 percent.

{eq}\begin{aligned} \text{Present}\ \text{value} &=\text{Annual payment}\times \frac{1-\left( \frac{1}{{{\left( 1+\text{Interest rate} \right)}^{\text{Period}}}} \right)}{\text{Interest rate}} \\ &=\$50,000\times \frac{1-\left( \frac{1}{{{\left( 1+7\% \right)}^{50}}} \right)}{7\%} \\ &=\$50,000\times \frac{1-0.03394776}{7\%} \\ &=\$50,000\times \frac{0.96605224}{7\%} \\ &=\$50,000\times 13.8007462 \\ &=\$690,037.31 \end{aligned} {/eq}",N,
47,"Mr. Johnson wants to buy an annuity due that will provide him with income of $50,000 per year for six years. The going interest rate is 6.25%.

How much would it cost him to buy the annuity today? (Draw a timeline and show your work.)

Annuity Due:
When the periodic cashflows happen at the beginning of the period, it makes an annuity due. This makes it different from annuity regular where cash flows happen at the end of the period.","$250,000.00","$259,193.50","$265,789.12","$240,000.70",B,"The timeline on an annuity due of $50,000 for six years will be -


The value of the annuity will be it present value.

To calculate the value of the annuity, we will calculate the cumulative present value factor first.

{eq}\text{Cumulative present value factor} = \dfrac{1 - (1 + i)^{-n}}{\frac{i}{1 + i}} {/eq}

where,

i = interest rate

n = number of years

Here,

i = 6.25%

n = 6 years

Putting values, we get -

{eq}\begin{align} \text{Cumulative present value factor} &= \dfrac{1 - (1 + i)^{-n}}{\frac{i}{1 + i}}\\ &= \dfrac{1 - (1 + 0.0625)^{-6}}{\frac{0.0625}{1 + 0.0625}}\\ &= \dfrac{1 - (1.0625)^{-6}}{\frac{0.0625}{1.0625}}\\ &= 5.18387\\ \end{align} {/eq}

So, the value of annuity today will be $50,000 X 5.18387 = $259,193.50

Hence, it would cost Mr, Johnson $259,193.50 to buy an annuity due that will provide him with an income of $50,000 per year for six years at an interest rate of 6.25%.",N,
48,"Find the amount needed to deposit into an account today that will yield pension payments of {eq}\displaystyle \$30,000 {/eq} at the end of each of the next {eq}\displaystyle 13 {/eq} years if the account earns interest at a rate of {eq}\displaystyle 6.9\% /yr {/eq} compounded annually. (Round your answer to the nearest cent.)

Annuity:
When studying investment, the annuity becomes the most critical topic to be discussed. It is a series of payments that are paid after certain intervals. In annuities, the deposit date of the amount can be weekly, monthly, yearly, etc. The annuity function helps to evaluate the annuities. To use the annuity function the interest rate, the period, and the present deposited amount or future obtained amount should be known.","$250,000.00","$248,500.75","$252,156.87","$254,789.12",C,"The necessary data are:

The amount that will be found per period (as a pension) is {eq}{P_t} = \$ 30,000. {/eq}
The interest rate is {eq}r = 6.9\%. {/eq}
The number of periods (number of years) is {eq}n = 13{\text{ years}}. {/eq}
Using the annuity formula, the amount needed to deposit today is given by

{eq}\displaystyle P={P}_{t} \left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+r \right)}^{n}}} \right)}r \right) {/eq}

By substituting the necessary values, we can get the amount needed to deposit to get the required pension after 13 years.

{eq}\displaystyle \begin{aligned} P&=\$30,000\left( \dfrac{1-\left( \dfrac{1}{{{\left( 1+0.069 \right)}^{13}}} \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{1-\left( 0.42004 \right)}{0.069} \right) \\ P&=\$30,000\left( \dfrac{0.57996}{0.069} \right) \\ P&\approx\$252,156.87 \\ \end{aligned} {/eq}

Hence, the amount needed to deposit into the account today is {eq}\displaystyle \$252,156.87 {/eq}",D,"To find the present value of an annuity, we use the formula for the present value of an annuity (PVA): PVA = PMT * [(1 - (1 + r)^-n) / r], where PMT is the annual payment, r is the annual interest rate, and n is the number of payments.
Substitute the values into the formula: PVA = $30,000 * [(1 - (1 + 0.069)^-13) / 0.069].
Calculate the term (1 + 0.069)^-13: (1 + 0.069) = 1.069, then 1.069^(-13).
Compute 1 - 0.4143 = 0.5857.
Divide by the interest rate to calculate PVA: 0.5857 / 0.069 ≈ 8.4913.
Multiply by the payment: $30,000 * 8.4913 ≈ $254,739."
49,"You want to be able to withdraw $45,000 each year for 30 years. Your account earns 10% interest.

How much do you need in your account at the beginning?","$400,000.00","$450,000.00","$424,211.15","$430,500.75",C,"The formula for the present value of an annuity is

{eq}\ \ \ \ \ P = R \left[ \dfrac{1 - (1 + i)^{-n}}{i} \right] {/eq},

where {eq}P {/eq} is the present value, {eq}R {/eq} is the regular payment, {eq}i {/eq} is the periodic interest rate, and {eq}n {/eq} is the total number of payments.



We assume that the interest will be compounded annually over the 30 year period.

Then for this account, we have:

{eq}\ \ \ \ \ R = 45,000, \ \ \ i = 0.10/1 = 0.10, \ \ \ n = (30)(1) = 30 {/eq}

Thus the present value formula yields the amount needed at the start:

{eq}\ \ \ \ \ P = 45,000 \left[ \dfrac{1 - (1 + 0.10)^{-30}}{0.10} \right] = \$424,211.15 {/eq}.",N,
50,"You want to be able to withdraw $45,000 each year for 30 years. Your account earns 10% interest.


How much total money will you pull out of the account?","$1,350,000.00","$1,300,000.00","$1,320,000.00","$1,375,000.00",A,"The formula for the present value of an annuity is

{eq}\ \ \ \ \ P = R \left[ \dfrac{1 - (1 + i)^{-n}}{i} \right] {/eq},

where {eq}P {/eq} is the present value, {eq}R {/eq} is the regular payment, {eq}i {/eq} is the periodic interest rate, and {eq}n {/eq} is the total number of payments.

The total amount that will be withdrawn over the 30 years is

{eq}\ \ \ \ \ (45,000)(30) = \$1,350,000.00 {/eq}.",A,"To determine how much total money will be pulled out of the account over 30 years, we simply need to multiply the annual withdrawal amount by the number of years.
Calculate the total money withdrawn over 30 years by multiplying the annual withdrawal amount by the number of years: Total withdrawal = $45,000 x 30.
To identify the correct answer, match the calculated total withdrawal amount with the options provided. The calculated amount of $1,350,000 matches option A."
